Title,Date,Member,StartTime,EndTime,Revenue
珈乐 才八点！开播乐！,2021/07/15,珈乐,,,
向晚 乃琳 琴 瑟 和 鸣,2021/07/15,"乃琳, 向晚",2021-07-15 18:44:15,2021-07-15 19:47:48,27909.8
贝拉 贝拉生日会！一起来呦！,2021/07/16,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL游戏室 十三期 嘉然 贝拉 珈乐 舞力全开游戏回~~~,2021/07/18,"嘉然, 珈乐, 贝拉",2021-07-18 19:50:08,2021-07-18 22:13:51,55397.3
贝拉 看看生日二创吖~,2021/07/21,贝拉,,,
珈乐 摇啊摇 谣到小狼堡,2021/07/21,珈乐,,,
乃琳 还债了还债了！！,2021/07/21,乃琳,2021-07-21 21:02:57,2021-07-21 22:09:03,25287.4
嘉然 向晚 第五人格 夏日欧皇决定战,2021/07/22,"向晚, 嘉然",2021-07-22 19:50:53,2021-07-22 21:35:29,35657.8
贝拉 抖音大V连线时刻,2021/07/23,贝拉,,,
A-SOUL夜谈 十八期 暑期生存指南,2021/07/23,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-07-23 18:21:47,2021-07-23 20:36:36,17247.3
乃琳 Ori的寻家之旅,2021/07/28,乃琳,2021-07-28 18:40:12,2021-07-28 19:45:15,60762.6
向晚 来听我写的新歌嘛？！,2021/07/28,向晚,,,
贝拉 给乃老师制定一份精致的训练计划~,2021/07/29,贝拉,,,
嘉然 饭缸·毕嘉然·哒哒哒的画室,2021/07/29,嘉然,2021-07-29 19:50:24,2021-07-29 21:38:21,54866.0
A-SOUL小剧场 二十五期 卡拉OK回二,2021/07/30,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 十九期 A-SOUL的问题？大！解！答！,2021/07/31,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
向晚 给A-SOUL的乃琳写个生日礼物,2021/08/04,向晚,,,
珈乐 走！上天台乐！,2021/08/04,珈乐,,,
贝拉 舞蹈练习室直拍公开2.0~,2021/08/05,贝拉,,,
嘉然 然然评论区有什么？,2021/08/05,嘉然,2021-08-05 19:50:22,2021-08-05 21:36:28,49003.8
"A-SOUL游戏室 十四期 嘉然 贝拉 向晚 欢迎来到A-SOUL厨房 ",2021/08/06,"向晚, 嘉然, 贝拉",2021-08-06 19:51:25,2021-08-06 22:09:53,21597.5
乃琳 乃琳生日演唱会,2021/08/08,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-08-08 19:50:09,2021-08-08 22:22:11,831931.1
向晚 贝拉 我俩可聪明着呢！！！,2021/08/11,"向晚, 贝拉",,,
珈乐 乃琳 等你乃乐,2021/08/11,"乃琳, 珈乐",,,
嘉然 嘉然B站50万粉纪念直播！,2021/08/12,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-08-12 19:50:30,2021-08-12 22:18:14,455264.5
向晚 Love Live！夏日限定回,2021/08/13,向晚,,,
七夕特别直播,2021/08/14,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
乃琳 看！看点儿啥呢！！！,2021/08/18,贝拉,,,
珈乐 跳！跳点啥呢！！！,2021/08/18,珈乐,,,
向晚 弹！弹点啥呢！！！,2021/08/18,向晚,,,
贝拉 聊！聊点啥呢！！！夏日怪谈~,2021/08/19,贝拉,,,
嘉然 玩！玩点啥呢！！！,2021/08/19,嘉然,2021-08-19 19:50:43,2021-08-19 21:32:59,31382.2
明日之后游戏回 和A-SOUL玩一场游戏吧！,2021/08/20,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-08-20 19:50:15,2021-08-20 22:26:44,17215.8
A-SOUL小剧场 二十六期 海边集训之表演集训,2021/08/21,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-08-21 19:50:12,2021-08-21 22:15:42,20788.4
A-SOUL游戏室 十五期 向晚 乃琳  小小梦魇（不通关就通宵）提前开麦修正版,2021/08/22,"乃琳, 向晚",,,
珈乐 歌回乐！,2021/08/25,珈乐,,,
乃琳 好 多 小 乃 琳,2021/08/25,乃琳,2021-08-25 19:53:19,2021-08-25 21:00:00,14676.2
贝拉 （正经美食栏目）快进来听彩虹屁,2021/08/26,贝拉,,,
嘉然 然然又又又又来画画啦！,2021/08/26,嘉然,2021-08-26 19:50:46,2021-08-26 21:36:46,21856.7
A-SOUL小剧场 二十七期 花椒杯文艺节,2021/08/27,"乃琳, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十期 A-SOUL的礼物repo会~,2021/08/28,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-08-28 19:50:40,2021-08-28 22:06:36,17522.3
珈乐 你哄！甜心！,2021/09/01,珈乐,,,
向晚 是真的吗？乃琳跟我说...,2021/09/01,向晚,,,
嘉然 房子里面……有什么？,2021/09/02,嘉然,2021-09-02 19:50:15,2021-09-02 21:36:55,22261.2
贝拉 贝极星开学摸底考,2021/09/02,贝拉,,,
A-SOUL小剧场 二十八期 社团文化节,2021/09/03,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十一期 新学期生存指南,2021/09/04,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-09-04 19:50:39,2021-09-04 22:09:19,18337.2
A-SOUL游戏室 十六期 嘿呜！吼吼吼吼吼吼吼吼~~~~~,2021/09/05,"乃琳, 向晚, 嘉然, 贝拉",2021-09-05 19:50:18,2021-09-05 22:14:05,17431.6
向晚 嘉然 乃琳 测试直播,2021/09/05,"乃琳, 向晚, 嘉然",,,
乃琳 要不我也看点刺激的...？,2021/09/08,乃琳,2021-09-08 21:00:30,2021-09-08 22:12:49,29496.2
珈乐 珈乐首播挑战,2021/09/08,珈乐,,,
向晚 建议改为...差不多得了！！,2021/09/08,向晚,,,
贝拉 论酷盖的自我修养,2021/09/09,贝拉,,,
嘉然 嘉然今天吃什么吖,2021/09/09,嘉然,2021-09-09 19:50:43,2021-09-09 21:36:43,19968.5
A-SOUL小剧场 二十九期 A-SOUL的开学测验,2021/09/10,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十二期 枝江怪谈,2021/09/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",2021-09-11 19:50:07,2021-09-11 22:16:04,22594.3
珈乐 金色的麦狼,2021/09/15,珈乐,,,
乃琳 所以在奶淇琳眼里我适合唱的歌是？,2021/09/15,乃琳,2021-09-15 21:00:09,2021-09-15 22:11:55,47539.0
向晚 水母之歌最终形态！！,2021/09/15,向晚,,,
嘉然 今~天~我~三~岁~拉,2021/09/16,嘉然,2021-09-16 19:51:16,2021-09-16 21:40:28,31257.5
"贝拉 海边的体育选修课 ",2021/09/16,贝拉,,,
A-SOUL游戏室 十七期 双人成行 第二回！,2021/09/17,"乃琳, 贝拉",2021-09-17 19:51:32,2021-09-17 22:23:19,27936.2
嘉然 贝拉 珈乐 第二届舞斗会,2021/09/19,"嘉然, 珈乐, 贝拉",,,
A-SOUL夜谈 二十三期 月圆之夜奇谈,2021/09/20,"乃琳, 向晚, 嘉然, 珈乐, 贝拉",,,
