Title,Date,Member
珈乐 耗费24h寻找生贺只为夺走你的心,21/11/04,珈乐
嘉然 绝不摆烂~小然比,21/11/04,嘉然
【A-SOULx欧莱雅男士】阿草变身作战,21/11/05,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL夜谈 二十八期 一个魂儿的暖冬指南！,21/11/06,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
欧莱雅联动 欧来欧来，欧气自来～,21/11/09,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
珈乐 如果那个视频被抽到的话,21/11/10,珈乐
向晚 不行！要专注！专心致志挑战！练舞,21/11/10,向晚
乃琳 来了来了我来画画啦~,21/11/10,乃琳
贝拉 你绝对听过的！！！,21/11/11,贝拉
嘉然 你们最甜甜甜的XX来讲故事啦~,21/11/11,嘉然
A-SOUL夜谈 二十九期 假如真有后悔药…,21/11/12,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL小剧场 三十六期 枝江零元购！,21/11/13,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 二十三期 怀旧游戏回,21/11/14,"乃琳, 向晚, 嘉然"
珈乐 小狼水吧,21/11/17,珈乐
向晚 快来围观粉丝评论区耶！！！,21/11/17,向晚
嘉然 心 跳 加 速 ！！！,21/11/18,嘉然
贝拉 乃琳 坑到对方就算赢！！！,21/11/18,"乃琳, 贝拉"
A-SOUL夜谈 三十期 A-SOUL今天玩什么,21/11/19,"乃琳, 向晚, 嘉然, 贝拉"
A-SOUL小剧场 三十七期 今天你说了算！！！,21/11/20,"乃琳, 向晚, 嘉然, 贝拉"
乃琳 来一局紧张刺激的飞行棋嘛～,21/11/24,乃琳
珈乐 猜歌名3.0,21/11/24,珈乐
嘉然 向晚 出 道 啦！！！,21/11/25,"向晚, 嘉然"
贝拉 贝极星进来听彩虹屁！！！,21/11/25,贝拉
A-SOUL夜谈 三十一期 A-SOUL初印象,21/11/26,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL小剧场 三十八期 欢迎收看枝江卫视,21/11/27,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 二十四期  枝江运动会,21/11/28,"向晚, 嘉然, 珈乐"
向晚 今天聊点啥！！！,21/12/01,向晚
乃琳 小狐琳在等你一起雪夜杂谈～,21/12/01,乃琳
珈乐 一把把上次妹画的画完,21/12/01,珈乐
嘉然 嘉然七天打卡挑战,21/12/02,嘉然
贝拉 那些你想听贝拉再唱一次的歌,21/12/02,贝拉
A-SOULx花亦山心之月合作直播,21/12/03,"乃琳, 嘉然"
A-SOUL小剧场 三十九期 枝江学园主持人大赛,21/12/04,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
向晚 珈乐 “冷裤子”的不被钓挑战！,21/12/08,"向晚, 珈乐"
嘉然 贝拉 乃琳 和然然姐姐去唱歌！！！,21/12/08,"乃琳, 嘉然, 贝拉"
【A-SOUL】周年特别直播,21/12/11,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
乃琳 上天啦！来聊天啊！,21/12/15,乃琳
珈乐 小狼水吧.2,21/12/15,珈乐
嘉然 小嘉然系列,21/12/16,嘉然
贝拉 幕后大揭秘1.0,21/12/16,贝拉
A-SOUL夜谈 三十二期 我们穿越啦,21/12/17,"乃琳, 嘉然, 珈乐, 贝拉"
A-SOUL小剧场 四十期 哈哈哈哈歌舞会,21/12/18,"乃琳, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 二十五期 《纸人》古宅的奇妙冒险,21/12/19,"嘉然, 珈乐, 贝拉"
乃琳 ______，在水一方~,21/12/22,乃琳
珈乐 二次元小姐姐陪你聊天,21/12/22,珈乐
嘉然 小嘉然系列0.5,21/12/23,嘉然
贝拉 梦开始的地方,21/12/23,贝拉
A-SOUL夜谈 三十三期 危险！危险！危险！,21/12/24,"嘉然, 珈乐, 贝拉"
A-SOUL小剧场 四十一期 圣诞节！开礼物喽！,21/12/25,"乃琳, 嘉然, 珈乐, 贝拉"
A-SOUL游戏室 二十六期 枝江“嚎”声音,21/12/26,"嘉然, 珈乐, 贝拉"
向晚 今晚开启向晚宇宙吧！！,21/12/29,向晚
嘉然 饭缸·毕嘉然·哒哒哒,21/12/30,嘉然
贝拉 大挑战！超速解密《纸嫁衣》！,21/12/30,贝拉
跨年回 2022好运爆棚,21/12/31,"乃琳, 向晚, 嘉然, 珈乐, 贝拉"
